t,x,y,z,vx,vy,vz,mu,mu_avg,Bmag
0.00000000,5.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.50000000,0.0625000000,0.0625000000,8.00000000
0.20000000,4.87010143,0.12418828,0.09783349,-1.00943197,-0.05524595,0.47748821,0.0555651120,0.0599612012,8.64892839
0.40000000,4.76393928,-0.01268626,0.20171440,0.23526538,-0.91296744,0.60094979,0.0502526470,0.0558317328,9.24895282
0.60000000,4.90603562,-0.06652616,0.33507990,0.73437625,0.52117626,0.66262119,0.0589671824,0.0552615622,8.46564843
0.80000000,4.91887321,0.10977861,0.43622717,-0.68745325,0.82332167,0.31551459,0.0607812848,0.0563494740,8.39460504
1.00000000,4.72375352,0.12545415,0.48226907,-0.79768502,-0.73197968,0.27911351,0.0522327217,0.0566061731,9.47419656
1.20000000,4.72667941,-0.03917616,0.59183964,0.70339536,-0.36095580,0.79053519,0.0537937890,0.0565452537,9.46199130
1.40000000,4.83114056,0.05495795,0.73277351,-0.05608064,1.02698453,0.43835800,0.0608762401,0.0563866975,8.85373614
1.60000000,4.68275406,0.18470234,0.75205298,-1.10617262,-0.12872577,-0.09905453,0.0555986830,0.0560099381,9.69812581
1.80000000,4.57931517,0.02751596,0.79083095,0.32240694,-0.86120471,0.63590897,0.0523149785,0.0566236147,10.38774799
2.00000000,4.69370740,0.03687138,0.94511448,0.27850834,0.91500849,0.57895818,0.0593677321,0.0562988696,9.62779761
2.20000000,4.59579565,0.20246838,0.95638084,-1.05019172,0.16893347,-0.34432375,0.0566526959,0.0559101160,10.22185230
2.40000000,4.47381461,0.06356066,0.94213453,0.21731307,-0.98467088,0.48290608,0.0527136382,0.0564421850,11.10722363
2.60000000,4.58765755,0.05513104,1.08831798,0.32693010,0.92423332,0.53750300,0.0587400990,0.0562108759,10.27224655
2.80000000,4.49883369,0.21838516,1.06877662,-0.96909885,0.06291727,-0.55397549,0.0562112935,0.0559414334,10.85663503
3.00000000,4.41472339,0.06353795,1.03759628,0.44601924,-0.88718601,0.51377798,0.0534358316,0.0562454697,11.52933196
3.20000000,4.53709188,0.09879324,1.16693246,0.18428110,1.06739345,0.27696877,0.0588183566,0.0561733009,10.58527948
3.40000000,4.43219540,0.22892800,1.09284567,-0.82440224,-0.33100810,-0.67881852,0.0551179704,0.0560126566,11.33524643
3.60000000,4.42012009,0.05402400,1.07742172,0.76815677,-0.54767552,0.59998891,0.0544379432,0.0560773687,11.47545352
3.80000000,4.54002381,0.15608002,1.16905508,-0.04808051,1.11179857,-0.10766706,0.0589648662,0.0561921321,10.55324783
4.00000000,4.42429404,0.22778705,1.04758520,-0.56079884,-0.71489247,-0.65148554,0.0539553623,0.0560876743,11.41079230
4.20000000,4.48510658,0.05976885,1.05035420,0.96719615,-0.16201424,0.53691991,0.0554238216,0.0559805117,10.99662702
4.40000000,4.59515274,0.20445116,1.09242089,-0.19444129,1.02985078,-0.38935839,0.0591370996,0.0562673371,10.19362821
4.60000000,4.48176371,0.23593974,0.94779118,-0.36857222,-0.84531304,-0.63213953,0.0531428842,0.0561388328,11.00516656
4.80000000,4.57947706,0.07905289,0.93678096,1.06399758,-0.05060537,0.33962957,0.0557134143,0.0559293295,10.35998801
5.00000000,4.70177279,0.22745525,0.94598768,-0.13050858,1.01704367,-0.44563403,0.0598341041,0.0563909605,9.54599338
5.20000000,4.59043680,0.27765735,0.79636822,-0.47389342,-0.68657935,-0.74433448,0.0530353065,0.0562067101,10.25638727
5.40000000,4.66195037,0.11080066,0.73352858,1.06249500,-0.34417688,0.05144553,0.0544158880,0.0559099892,9.84447535
5.60000000,4.83102969,0.21291227,0.72484197,0.23718982,1.04215531,-0.32810562,0.0609129153,0.0564345049,8.83090259
5.80000000,4.74551161,0.34009112,0.59686674,-0.76333252,-0.12217775,-0.80771038,0.0552527253,0.0563497249,9.27912550
6.00000000,4.70581214,0.19189026,0.47152509,0.61075603,-0.86205590,-0.36583700,0.0512752440,0.0561673868,9.56945649
6.20000000,4.89868064,0.16943685,0.42099933,0.83749104,0.68675962,-0.27743464,0.0596940522,0.0561635634,8.49013373
6.40000000,4.92101938,0.35069528,0.33059060,-0.61380062,0.70035998,-0.61866364,0.0603714387,0.0566639281,8.32738818
6.60000000,4.76806817,0.33735828,0.19827145,-0.45878051,-0.80148996,-0.63018592,0.0510356620,0.0565734337,9.15621037
6.80000000,4.83598846,0.18233172,0.08832481,0.96106749,-0.28075025,-0.49752245,0.0537730930,0.0561687171,8.82304933
7.00000000,4.98788165,0.27548082,-0.01151495,0.20254013,0.97768131,-0.50310709,0.0622481545,0.0565749650,8.02171955
7.20000000,4.88593888,0.42443239,-0.10848327,-1.00407875,0.16830354,-0.46206037,0.0573841028,0.0563490098,8.47731316
7.40000000,4.74755082,0.31389904,-0.20614525,-0.00844513,-0.96644367,-0.56206344,0.0500244542,0.0568623575,9.28420954
7.60000000,4.86992148,0.22226548,-0.33775276,0.81731051,0.31237037,-0.69600883,0.0573145033,0.0563564817,8.63075924
7.80000000,4.91636239,0.38537271,-0.45007390,-0.51532606,0.92110313,-0.36879272,0.0615079664,0.0564489105,8.33661919
8.00000000,4.72729151,0.43810271,-0.49574124,-0.94470599,-0.56062271,-0.20792493,0.0534844297,0.0563815968,9.34205131
8.20000000,4.69183208,0.26670991,-0.58746019,0.59868705,-0.58418936,-0.74181979,0.0525448831,0.0566530903,9.62872018
8.40000000,4.80934505,0.32286353,-0.73717056,0.12066980,0.96660531,-0.54873761,0.0604826099,0.0564019881,8.91562735
8.60000000,4.68587152,0.47412243,-0.77151538,-1.10895505,0.08943764,0.11054233,0.0567881578,0.0559397529,9.55284601
8.80000000,4.55397188,0.33517337,-0.78854115,0.14680495,-0.98898844,-0.50035006,0.0519158278,0.0566655787,10.47746686
9.00000000,4.66564450,0.30297307,-0.94065046,0.41326468,0.77193033,-0.69522361,0.0586584051,0.0562949338,9.74192436
9.20000000,4.59401410,0.47845402,-0.97550787,-1.00654829,0.37726477,0.30746030,0.0575381148,0.0559211947,10.09580344
9.40000000,4.45143667,0.36450219,-0.94039766,0.05131183,-1.07248749,-0.31166920,0.0525381416,0.0564484091,11.16651333
9.60000000,4.56118179,0.31644658,-1.08068896,0.44882089,0.77909324,-0.66450999,0.0581581839,0.0561986851,10.38048292
9.80000000,4.49528551,0.49132193,-1.08696491,-0.94568600,0.28156321,0.52573771,0.0569769067,0.0559470792,10.72388156
10.00000000,4.39012585,0.35709919,-1.03107758,0.31254617,-1.01642445,-0.34524808,0.0530971341,0.0562703006,11.61369782
10.20000000,4.51548370,0.35432887,-1.16091457,0.31648099,0.98053576,-0.43403848,0.0584955017,0.0561566237,10.64844817
10.40000000,4.42805533,0.50700514,-1.10943155,-0.85660604,-0.10255482,0.71113192,0.0558499452,0.0559925018,11.18765517
10.60000000,4.39211296,0.34046841,-1.06418680,0.68759641,-0.74049060,-0.47841911,0.0538548697,0.0561066386,11.59763088
10.80000000,4.52422988,0.41013867,-1.16711201,0.09084751,1.11249832,-0.06398616,0.0589275014,0.0561826222,10.55340660
11.00000000,4.41857616,0.51506128,-1.06021640,-0.65423273,-0.51015382,0.74948156,0.0546200916,0.0560629984,11.26763240
11.20000000,4.45441324,0.34212759,-1.03279081,0.93781318,-0.38182854,-0.47403946,0.0546616684,0.0559912756,11.13379624
11.40000000,4.58349574,0.46212560,-1.09259412,-0.05349684,1.09289948,0.22958400,0.0593269106,0.0562623179,10.14741005
11.60000000,4.47502297,0.53190827,-0.95666555,-0.49958769,-0.66348250,0.74846718,0.0537992593,0.0561287463,10.86869114
11.80000000,4.54551679,0.36518906,-0.91781891,1.04480448,-0.27019622,-0.29219446,0.0547764644,0.0559313828,10.49970301
12.00000000,4.68955726,0.48989561,-0.94294563,0.02723364,1.07542958,0.30448244,0.0600312102,0.0563597408,9.49941012
12.20000000,4.58682279,0.57828200,-0.80424390,-0.59495021,-0.47692391,0.81766609,0.0540197578,0.0562139292,10.09503237
12.40000000,4.62431265,0.41108822,-0.71696339,0.97635016,-0.54392542,0.02975742,0.0533229857,0.0559532166,9.97801702
12.60000000,4.80884944,0.48073273,-0.71355615,0.41730078,1.01239293,0.22565595,0.0605969683,0.0563281517,8.84751707
12.80000000,4.74726917,0.63471134,-0.60152366,-0.77829121,0.11812642,0.79391999,0.0567853583,0.0564117474,9.09532762
13.00000000,4.67442376,0.51158020,-0.46381064,0.39357187,-0.93978043,0.46034110,0.0507140927,0.0562834713,9.61479321
13.20000000,4.85634109,0.45207869,-0.40503652,0.95787070,0.51601915,0.25730905,0.0583213442,0.0560511899,8.61769112
13.40000000,4.91396217,0.62997065,-0.32407867,-0.46272629,0.84400672,0.56880315,0.0614206519,0.0567062785,8.22359018
13.60000000,4.75921888,0.65749455,-0.19529484,-0.64772955,-0.64142400,0.64731884,0.0522969283,0.0565078986,9.01723171
13.80000000,4.78514175,0.49387213,-0.08004622,0.85743660,-0.49449330,0.51988350,0.0521683822,0.0562836370,8.98282396
14.00000000,4.95166782,0.55096961,0.02266313,0.39707550,0.91111383,0.51205727,0.0615095484,0.0564625833,8.08592254
14.20000000,4.88214174,0.71748723,0.12006471,-0.94949445,0.37834824,0.45311467,0.0590792816,0.0564118822,8.32239894
14.40000000,4.71924345,0.63957827,0.21199040,-0.25545233,-0.95769918,0.51725852,0.0503657272,0.0568491289,9.25808528
14.60000000,4.81383096,0.51523608,0.33900148,0.85593677,0.08224641,0.71456824,0.0555493101,0.0563834658,8.81203512
14.80000000,4.89085656,0.65724926,0.46198885,-0.32828891,0.97687738,0.43351699,0.0618223065,0.0564999227,8.31933583
15.00000000,4.71538147,0.74404299,0.51139533,-1.04617302,-0.36127031,0.15813218,0.0549146828,0.0561920313,9.18889631
15.20000000,4.64204404,0.57586630,0.58473184,0.45244522,-0.77727589,0.66418033,0.0516238054,0.0567621183,9.76384480
15.40000000,4.76596274,0.59079166,0.73809779,0.28773772,0.86203835,0.65122721,0.0597522640,0.0563950288,9.01447243
15.60000000,4.67061577,0.75647227,0.79085363,-1.07395438,0.29863248,-0.08625910,0.0579070910,0.0559455533,9.42061184
15.80000000,4.51483873,0.64300351,0.79013983,-0.04460140,-1.06135167,0.34863068,0.0518595520,0.0566619763,10.51780816
16.00000000,4.61796358,0.57066115,0.93316695,0.53095426,0.59221962,0.78572482,0.0577520424,0.0562938122,9.88368967
16.20000000,4.57382165,0.74822772,0.99311776,-0.93634453,0.56484129,-0.23283737,0.0583180795,0.0559752604,9.99029977
16.40000000,4.41486904,0.66463719,0.94297493,-0.12289990,-1.10343938,0.13159460,0.0526190509,0.0564173072,11.17873225
16.60000000,4.51595965,0.57923456,1.07016130,0.55749987,0.59926489,0.76162687,0.0574272988,0.0561913107,10.51398060
16.80000000,4.47426606,0.75826899,1.10387529,-0.89908816,0.48384184,-0.45556289,0.0576761633,0.0559809264,10.60682498
17.00000000,4.35080521,0.65088597,1.02861270,0.16405037,-1.09463542,0.15767297,0.0529599750,0.0562751138,11.65692050
17.20000000,4.47528770,0.61033020,1.15139547,0.44305104,0.85410589,0.56939345,0.0580145868,0.0561346428,10.74039927
17.40000000,4.40750559,0.77908312,1.12610525,-0.86543404,0.12592002,-0.69654008,0.0565868130,0.0559995021,11.04274358
17.60000000,4.34855002,0.62877426,1.05404201,0.58322926,-0.89809267,0.32136146,0.0534084250,0.0561397842,11.69157877
17.80000000,4.48969409,0.66324004,1.16116202,0.23121683,1.06982543,0.22806209,0.0587095832,0.0561594971,10.58557075
18.00000000,4.39735735,0.79671780,1.07449188,-0.72457583,-0.28501277,-0.80234505,0.0553824879,0.0560533432,11.11065739
18.20000000,4.40718865,0.62742024,1.01715601,0.87919236,-0.58441349,0.36807835,0.0539729228,0.0560176095,11.25703338
18.40000000,4.55256690,0.71776550,1.08867226,0.09393634,1.11200298,-0.06800977,0.0593012042,0.0562331201,10.13494971
18.60000000,4.45332258,0.82249167,0.96781718,-0.60614142,-0.45079575,-0.82424254,0.0546334975,0.0561242675,10.70880256
18.80000000,4.49452963,0.65474653,0.90059633,0.99013524,-0.47753221,0.20394903,0.0539015487,0.0559582018,10.62889831
